,ARR_Airline,AC_TYPE,STA_Weekday,STA_time_of_the_day,STA_Month,Registration,Arr_Stand
0,SWISS,525,2,660,1,HBVWM,A14-3
1,JU,AT7,1,20,1,YUALO,B3
2,SWISS,PC12,2,840,1,HBFVO,A14-1
3,JU,AT7,1,410,1,YUALP,C9
4,JU,AT7,1,415,1,YUALN,C10
5,WZZ,320,1,375,1,HALWO,A8
6,WZZ,320,1,755,1,HALPJ,A9
7,OS,DH4,1,470,1,OELGI,A3
8,JU,319,1,475,1,YUAPB,C6
9,JU,319,1,410,1,YUAPJ,C5
10,JU,319,1,435,1,YUAPC,C4
11,JU,AT7,1,425,1,YUALU,C8
12,JU,319,1,400,1,YUAPD,A1
13,JU,319,1,400,1,YUAPE,C3
14,EY,32A,1,745,1,A6EIT,A2
15,JU,AT7,1,430,1,YUALO,C7
16,JU,319,1,610,1,YUAPF,C1
17,TK,73H,1,540,1,TCJFM,A1
18,EZS,319,1,520,1,HBJYM,A5
19,JU,AT7,1,800,1,YUALN,C7
20,QR,320,1,700,1,A7AHB,A1
21,JU,AT7,1,830,1,YUALU,C8
22,EY,32A,1,735,1,A6EIW,C1
23,JU,319,1,740,1,YUAPJ,C6
24,JU,AT7,1,815,1,YUALP,C10
25,JU,AT7,1,805,1,YUALO,C9
26,TU,320,1,745,1,TSIMP,A5
27,WZZ,320,1,755,1,HALWO,A4
28,SU,320,1,775,1,VPBKY,A3
29,JU,319,1,1020,1,YUAPC,C4
30,JU,319,1,1020,1,YUAPE,C3
31,FZ,7M8,1,780,1,A6FME,A1
32,JU,319,1,815,1,YUAPD,C2
33,LH,E95,1,795,1,DAEBB,C5
34,WZ,320,1,840,1,VPBWX,A6
35,LO,E75,1,845,1,SPLIN,A2
36,LX,320,1,880,1,HBIJH,A5
37,OS,DH4,1,910,1,OELGL,A4
38,HV,73W,1,900,1,PHXRX,A3
39,YM,E95,1,915,1,4OAOA,A1
40,JU,319,1,1065,1,YUAPB,C2
41,JU,AT7,1,1115,1,YUALU,C9
42,JU,319,1,1420,1,YUAPD,C1
43,JU,AT7,1,1145,1,YUALN,C10
44,JU,AT7,1,1105,1,YUALP,C8
45,JU,319,1,1085,1,YUAPJ,C6
46,YM,E95,1,1105,1,4OAOB,A1
47,AZ,320,1,1120,1,EIDTH,C3
48,OS,DH4,1,1100,1,OELGE,C4
49,SU,320,1,1125,1,VPBDK,C5
50,WZZ,320,1,1115,1,HALPJ,A4
51,WZZ,320,1,1140,1,HALWO,A3
52,TK,321,1,1225,1,TCJRL,C2
53,OS,DH4,2,470,1,OELGF,A10
54,JU,AT7,2,425,1,YUALV,C10
55,JU,AT7,2,435,1,YUALN,C8
56,SU,32A,1,1415,1,VPBIX,C3
57,JU,AT7,2,450,1,YUALP,C9
58,JU,AT7,2,415,1,YUALU,C7
59,JU,320,2,410,1,YUAPH,A1
60,JU,319,2,395,1,YUAPI,C6
61,JU,319,2,25,1,YUAPJ,C4
62,JU,319,2,390,1,YUAPB,A2
63,JU,320,2,395,1,YUAPG,C2
64,JU,319,2,410,1,YUAPE,C5
65,WZZ,320,2,375,1,HALPJ,A8
66,LH,319,2,410,1,DAILS,A5
67,JU,319,2,375,1,YUAPC,A6
68,WZZ,320,2,390,1,HALWO,A7
69,SM,320,2,330,1,SUBTM,A4
70,EY,32A,2,735,1,A6EIU,C1
71,JU,319,2,400,1,YUAPD,A3
72,TK,73J,2,540,1,TCJYP,A1
73,YM,E95,2,535,1,4OAOC,A5
74,YM,100,2,535,1,4OAOM,A3
75,JU,319,2,795,1,YUAPJ,C6
76,JU,AT7,2,595,1,YUALU,C7
77,WZZ,320,2,630,1,HALPJ,A8
78,EZS,32A,2,655,1,HBJXJ,A2
79,QR,321,2,700,1,A7AID,A1
80,JU,AT7,2,795,1,YUALV,C8
81,AZ,320,2,705,1,EIDTK,A5
82,JU,319,2,795,1,YUAPI,C3
83,JU,AT7,2,805,1,YUALN,C9
84,YM,100,2,705,1,4OAOM,A4
85,JU,AT7,2,800,1,YUALP,C10
86,JU,320,2,740,1,YUAPH,A4
87,EY,320,2,745,1,A6EIN,A3
88,WZZ,320,2,735,1,HALWO,A7
89,JU,320,2,1025,1,YUAPG,C4
90,SU,32A,2,775,1,VQBPV,B4
91,DY,73H,2,755,1,LNNGB,C2
92,JU,319,2,815,1,YUAPE,C5
93,FZ,7M8,2,780,1,A6FMB,A5
94,JU,319,2,1020,1,YUAPD,C6
95,EZY,319,2,790,1,GEZMK,C2
96,JU,AT7,2,830,1,YUALU,C7
97,LH,E95,2,795,1,DAEBB,A8
98,LH,320,2,815,1,DAIPT,A1
99,JU,319,2,1065,1,YUAPC,A4
100,JU,319,2,1065,1,YUAPB,A7
101,LO,E75,2,845,1,SPLIL,A2
102,A3,320,2,865,1,SXDVU,C1
103,ISLE,510,2,870,1,MUSTG,A12-3
104,HRVAT,525,2,885,1,9ADWA,A12-2
105,LX,320,2,885,1,HBIJN,C3
106,OS,DH4,2,910,1,OELGC,A8
107,WZZ,320,2,940,1,HALPJ,A5
108,PINK,56X,2,1020,1,YUSPB,A13-3
109,JU,AT7,2,1060,1,YUALU,C7
110,JU,319,2,1095,1,YUAPE,C3
111,JU,AT7,2,1105,1,YUALP,C8
112,JU,AT7,2,1115,1,YUALV,C10
113,JU,AT7,2,1100,1,YUALN,C9
114,JU,319,2,1035,1,YUAPI,C1
115,JU,319,2,1085,1,YUAPF,C5
116,LH,CR9,2,1015,1,DACKF,A6
117,LO,E95,2,1015,1,SPLNK,A3
118,JU,320,2,1080,1,YUAPH,A1
119,KK,320,2,1055,1,URAJC,A2
120,JU,319,2,1080,1,YUAPJ,C2
121,WZZ,320,2,1060,1,HALWO,A5
122,OS,DH4,2,1100,1,OELGF,C6
123,SU,320,2,1125,1,VQBIW,A3
124,YM,E95,2,1165,1,4OAOC,A2
125,TK,321,2,1225,1,TCJRK,A1
126,OS,DH4,3,470,1,OELGB,A6
127,JU,AT7,3,415,1,YUALN,C10
128,JU,AT7,3,425,1,YUALO,C9
129,JU,319,3,420,1,YUAPI,C6
130,SU,73H,2,1415,1,VQBWC,C1
131,JU,319,2,1395,1,YUAPF,C4
132,JU,AT7,3,30,1,YUALP,C7
133,JU,319,3,405,1,YUAPB,A2
134,JU,AT7,3,25,1,YUALV,B3
135,JU,319,3,30,1,YUAPE,C3
136,JU,319,3,400,1,YUAPJ,C2
137,JU,AT7,3,20,1,YUALU,C8
138,WZZ,320,3,370,1,HALWO,A4
139,JU,320,3,410,1,YUAPG,A1
140,LH,319,3,410,1,DAILC,A5
141,JU,319,3,400,1,YUAPC,C5
142,WZZ,320,3,375,1,HALPJ,A8
143,JU,332,3,440,1,YUARA,C3A
144,EY,32A,3,735,1,A6EIX,C1
145,JU,AT7,3,430,1,YUALU,B4
146,JU,AT7,3,410,1,YUALV,C7
147,JU,AT7,3,435,1,YUALP,C8
148,JU,319,3,475,1,YUAPF,A3
149,TK,73H,3,540,1,TCJVT,A5
150,YM,E95,3,535,1,4OAOA,A1
151,YM,E95,3,535,1,4OAOB,A2
152,RO,AT5,3,560,1,YRATF,C8
153,JU,AT7,3,815,1,YUALN,C7
154,QR,320,3,700,1,A7AHT,A4
155,JU,AT7,3,830,1,YUALU,C8
156,JU,319,3,815,1,YUAPI,A5
157,JU,320,3,740,1,YUAPG,C6
158,HV,73H,3,705,1,PHHZN,A3
159,JU,319,3,795,1,YUAPB,A6
160,WZZ,320,3,710,1,HALWO,A8
161,EY,320,3,745,1,A6EIK,A2
162,JU,AT7,3,800,1,YUALO,C9
163,PC,73H,3,765,1,TCCPJ,C2
164,WZZ,320,3,755,1,HALPJ,A9
165,SU,320,3,775,1,VPBDK,C4
166,FZ,7M8,3,780,1,A6FMC,A1
167,JU,319,3,1020,1,YUAPC,C5
168,EZS,320,3,790,1,HBJXA,A4
169,JU,319,3,1020,1,YUAPJ,A4
170,LH,E95,3,795,1,DAEMC,A7
171,LH,32A,3,815,1,DAIUH,A3
172,PINK,56X,3,840,1,YUPNK,A12-2
173,DP,73H,3,1080,1,VQBTS,A9
174,LX,321,3,880,1,HBIOM,C2
175,OS,DH4,3,910,1,OELGF,A2
176,B2,E75,3,910,1,EW341PO,A6
177,YM,E95,3,915,1,4OAOB,A1
178,JU,319,3,1065,1,YUAPF,C6
179,JU,319,3,1060,1,YUAPI,C4
180,JU,AT7,3,1145,1,YUALT,C8
181,JU,AT7,3,1115,1,YUALU,C9
182,JU,AT7,3,1100,1,YUALO,C7
183,JU,320,3,1025,1,YUAPH,C3
184,LO,E75,3,1015,1,SPLII,A2
185,LH,CR9,3,1015,1,DACNQ,A5
186,JU,320,3,1080,1,YUAPG,C1
187,WZZ,320,3,1095,1,HALWO,A3
188,AZ,320,3,1120,1,EIDTI,A2
189,OS,DH4,3,1100,1,OELGK,A6
190,SU,320,3,1125,1,VQBAY,A5
191,JU,AT7,3,1105,1,YUALN,C10
192,WZZ,320,3,1115,1,HALPJ,A4
193,YM,E95,3,1165,1,4OAOC,A1
194,TK,321,3,1225,1,TCJRK,A2
195,IZ,E95,3,1230,1,4XEMC,A5
196,OS,DH4,4,470,1,OELGN,A10
197,JU,AT7,4,415,1,YUALO,C8
198,SU,73H,3,1415,1,VPBKN,A1
199,JU,AT7,4,600,1,YUALU,B3
200,JU,320,3,1420,1,YUAPG,C3
201,JU,319,4,375,1,YUAPI,A4
202,JU,320,4,410,1,YUAPH,C2
203,WZZ,320,4,375,1,HALPJ,A9
204,JU,319,4,25,1,YUAPC,C4
205,LH,319,4,410,1,DAILS,A5
206,JU,319,4,395,1,YUAPJ,A2
207,WZZ,320,4,390,1,HALWO,A8
208,EY,32A,4,735,1,A6EIU,C1
209,JU,332,4,790,1,YUARA,C3A
210,JU,320,4,400,1,YUAPG,C5
211,TK,73J,4,540,1,TCJYJ,A1
212,YM,E95,4,535,1,4OAOC,A3
213,YM,100,4,535,1,4OAOM,A7
214,EZS,319,4,545,1,HBJYK,A5
215,QB,320,4,615,1,EPFQR,B6
216,JU,319,4,610,1,YUAPC,C2
217,JU,AT7,4,595,1,YUALO,C8
218,MDF,SW4,4,720,1,SXBMT,A13-4
219,WZZ,320,4,630,1,HALPJ,A2
220,QR,320,4,700,1,A7AHE,C6
221,JU,AT7,4,800,1,YUALV,C7
222,AZ,320,4,705,1,EIIKG,A1
223,MDF,SW4,4,1005,1,SXBGU,A14-4
224,JU,319,4,795,1,YUAPD,A4
225,JU,319,4,795,1,YUAPJ,A6
226,JU,AT7,4,805,1,YUALN,C8
227,JU,AT7,4,795,1,YUALP,C9
228,JU,320,4,740,1,YUAPH,C5
229,EY,320,4,745,1,A6EII,A3
230,KK,319,4,735,1,TCATD,A8
231,WZZ,320,4,735,1,HALWO,A9
232,PC,738,4,765,1,TCIZG,A5
233,JU,319,4,795,1,YUAPB,C2
234,SU,32A,4,775,1,VPBTC,A2
235,JU,320,4,1025,1,YUAPG,C6
236,EZY,319,4,790,1,GEZMK,A1
237,LH,E95,4,795,1,DAEBC,A6
238,JU,319,4,815,1,YUAPI,A3
239,LH,3N0,4,815,1,DAINM,C5
240,WZ,320,4,840,1,VPBWW,C1
241,JU,AT7,4,830,1,YUALU,A7
242,JU,AT7,4,1060,1,YUALO,C10
243,LO,E90,4,845,1,SPLMD,A2
244,A3,320,4,865,1,SXDGX,A5
245,LX,320,4,895,1,HBJLQ,C2
246,OS,DH4,4,910,1,OELGO,C4
